39,"Lillard has 33, Blazers hand Celtics 4th straight loss",Associated Press,Damian Lillard scored 21 of his 33 points in the second half and the Portland Trail Blazers beat Boston 97-92 on Wednesday night for the Celtics' fourth straight loss.,2019-02-28T03:57:08Z,http://www.espn.com/nba/recap?gameId=401071586
40,"LaVine's 30 points lead Chicago past Memphis, 109-107",Associated Press,Zach LaVine scored 12 of his 30 points in the fourth quarter and the Chicago Bulls held on to beat the Memphis Grizzlies 109-107 on Wednesday night.,2019-02-28T03:54:41Z,http://www.espn.com/nba/recap?gameId=401071589
41,"Young, Collins power Hawks past Timberwolves, 131-123 in OT",Associated Press,"Trae Young matched the career high he set earlier in the week with 36 points, John Collins had 33 and the Atlanta Hawks beat the Minnesota Timberwolves 131-123 in overtime Wednesday night.",2019-02-28T03:34:46Z,http://www.espn.com/nba/recap?gameId=401071585
42,"Beal, Wizards roll to 125-116 victory over Nets",Associated Press,"Bradley Beal scored 31 points, Trevor Ariza had 23 points and 10 rebounds, and the Washington Wizards beat the Brooklyn Nets 125-116 on Wednesday night.",2019-02-28T03:16:46Z,http://www.espn.com/nba/recap?gameId=401071587
43,Doncic helps Mavs beat Pacers in final game as teen,Associated Press,"Luka Doncic had 26 points and 10 rebounds in his final game as a teenager, fellow rookie Jalen Brunson scored a season-high 24 points, and the Mavericks ended a five-game losing streak with a 110-101 victory over the Pacers on Wednesday.",2019-02-28T04:10:39Z,http://www.espn.com/nba/recap?gameId=401071591
44,"Aldridge helps Spurs beat Pistons in return home, 105-93",Associated Press,"LaMarcus Aldridge scored 24 points, DeMar DeRozan had 17 points and 13 points, and the San Antonio Spurs returned home after a 25-day absence to beat the Detroit Pistons 105-93 on Wednesday night and snap a three-game skid.",2019-02-28T04:02:39Z,http://www.espn.com/nba/recap?gameId=401071590
45,"Harden, Capella lead Rockets past feisty Hornets 118-113",Associated Press,"James Harden scored 30 points, Clint Capela had 23 points and a career-high 17 rebounds, and the Houston Rockets beat the Charlotte Hornets 118-113 on Wednesday night for their third straight win.",2019-02-28T02:46:39Z,http://www.espn.com/nba/recap?gameId=401071584
46,"Harden, Capella lead Rockets past feisty Hornets 118-113",Associated Press,"James Harden scored 30 points, Clint Capela had 23 points and a career-high 17 rebounds, and the Houston Rockets beat the Charlotte Hornets 118-113 on Wednesday night for their third straight win.",2019-02-28T02:46:39Z,http://www.espn.com/nba/recap?gameId=401071584
47,Fantasy basketball forecaster - Feb. 25-March 3,"Andre Snellings, ESPN","Here is everything you need to prepare your fantasy hoops rosters for the week ahead -- including matchup previews, schedule analysis and more.",2019-02-22T16:06:44Z,http://www.espn.com/fantasy/basketball/story/_/page/fbaforecaster190222/fantasy-basketball-forecaster-feb-25-march-3
48,"Ex-NBA player White to try MMA, eyes UFC belt","Greg Rosenstein, ESPN Staff Writer",Former NBA player Royce White says his basketball days are over as he prepares for a career in mixed martial arts.,2019-02-27T21:21:00Z,http://www.espn.com/mma/story/_/id/26096053/ex-nba-player-white-try-mma-eyes-ufc-belt
